,Unnamed: 0,FILENAME,NOBS,BANDS,RA,DEC,BRIGHTEST,RISE_z,RISE_i,RISE_r,MAX_r-i,MIN_r-i,MAX_i-z,MIN_i-z,MAX_SNR_z,MAX_SNR_i,MAX_SNR_r,CUT_1,CUT_2,CUT_3,CCD,MAG_r,MAG_i,MAG_z,EXPNUM_1,EXPNUM_2,EXPNUM_3,EXPNUM_4
7921,7921,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010231.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-254.62,-254.62,137.5102487018311,58.85152735022496,0.0,True,True,False,-1,99.9,21.511552950444614,20.74575630743538,0,0,0,0
7922,7922,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010237.DAT,4,iz,77.002256,5.893483,i,-5.087999999999994,-2.8290000000000006,0.0,0.0,0.0,11.367999999999995,9.109000000000002,13.319721718088324,13.668724279835393,0.0,True,True,False,-1,99.9,23.24575630743538,23.52381497358082,0,0,0,0
7923,7923,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010245.DAT,4,ir,77.390969,6.614503,r,0.0,-5.119,6.9386,5.4938,-6.5638000000000005,0.0,0.0,0.0,0.8859577715593996,1.0656077348066295,True,True,False,-1,26.034235163162037,27.5,99.9,0,0,0,0
7924,7924,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010253.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-50.30199999999999,-50.30199999999999,24.553689262147568,7.718268525311811,0.0,True,True,False,-1,99.9,23.752157513656538,22.71729412289065,0,0,0,0
7925,7925,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010280.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-13.96006,-13.96006,0.0,0.0,0.0,3.493117604443371,0.15427436602505348,True,True,False,-1,28.241900560728183,24.599203905040003,99.9,0,0,0,0
7926,7926,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010307.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-1.4600000000000009,-1.4600000000000009,10.077926015767133,7.769437652811736,0.0,True,True,False,-1,99.9,23.744717765063967,23.695945457274238,0,0,0,0
7927,7927,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010308.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-0.7006999999999999,-0.7006999999999999,0.0,0.0,0.0,0.5070391872278665,0.4262064752596213,True,True,False,-1,27.138253203392193,26.696470005064985,99.9,0,0,0,0
7928,7928,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010327.DAT,4,iz,77.002256,5.893483,z,4.605999999999998,0.8840000000000003,0.0,0.0,0.0,1.7159999999999975,-2.006,8.788706739526411,6.9604753293722545,0.0,True,True,False,-1,99.9,23.923844825451113,23.84587857984136,0,0,0,0
7929,7929,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010352.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-6.979999999999991,-6.979999999999991,0.0,0.0,0.0,39.196787148594375,46.843501326259954,True,True,False,-1,21.99691697829781,21.950253152387585,99.9,0,0,0,0
7930,7930,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010368.DAT,4,ir,77.390969,6.614503,r,0.0,-13.214999999999995,-3.959000000000003,11.446999999999996,2.1910000000000025,0.0,0.0,0.0,17.862068965517242,19.95009544586856,True,True,True,-1,22.899766143970677,23.096101228125402,99.9,0,0,0,0
